mixsId,environmentalPackage,structuredCommentName,packageItem,definition,expectedValue,valueSyntax,example,requirement,preferredUnit,occurrence,position,MIXS-ID
"MIXS:0000632",soil,depth,depth,"Depth is defined as the vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples",measurement value,{float} {unit},10 meter,M,meter,1,0,MIXS:0000632
"MIXS:0000633",soil,elev,elevation,"Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit",measurement value,{float} {unit},100 meter,M,meter,1,0,MIXS:0000633
MIXS:0001080,soil,cur_land_use,current land use,Present state of sample site,enumeration,"[cities|farmstead|industrial areas|roads/railroads|rock|sand|gravel|mudflats|salt flats|badlands|permanent snow or ice|saline seeps|mines/quarries|oil waste areas|small grains|row crops|vegetable crops|horticultural plants (e.g. tulips)|marshlands (grass,sedges,rushes)|tundra (mosses,lichens)|rangeland|pastureland (grasslands used for livestock grazing)|hayland|meadows (grasses,alfalfa,fescue,bromegrass,timothy)|shrub land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)|successional shrub land (tree saplings,hazels,sumacs,chokecherry,shrub dogwoods,blackberries)|shrub crops (blueberries,nursery ornamentals,filberts)|vine crops (grapes)|conifers (e.g. pine,spruce,fir,cypress)|hardwoods (e.g. oak,hickory,elm,aspen)|intermixed hardwood and conifers|tropical (e.g. mangrove,palms)|rainforest (evergreen forest receiving >406 cm annual rainfall)|swamp (permanent or semi-permanent water body dominated by woody plants)|crop trees (nuts,fruit,christmas trees,nursery trees)]",conifers,X,,1,1,MIXS:0001080
MIXS:0000312,soil,cur_vegetation,current vegetation,"Vegetation classification from one or more standard classification systems, or agricultural crop",current vegetation type,{text},,X,,1,2,MIXS:0000312
MIXS:0000314,soil,cur_vegetation_meth,current vegetation method,Reference or method used in vegetation classification,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,3,MIXS:0000314
MIXS:0000315,soil,previous_land_use,history/previous land use,Previous land use and dates,land use name;date,{text};{timestamp},,X,,1,4,MIXS:0000315
MIXS:0000316,soil,previous_land_use_meth,history/previous land use method,Reference or method used in determining previous land use and dates,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,5,MIXS:0000316
MIXS:0000318,soil,crop_rotation,history/crop rotation,"Whether or not crop is rotated, and if yes, rotation schedule",crop rotation status;schedule,{boolean};{Rn/start_time/end_time/duration},yes;R2/2017-01-01/2018-12-31/P6M,X,,1,6,MIXS:0000318
MIXS:0000639,soil,agrochem_addition,history/agrochemical additions,"Addition of fertilizers, pesticides, etc. - amount and time of applications",agrochemical name;agrochemical amount;timestamp,{text};{float} {unit};{timestamp},roundup;5 milligram per liter;2018-06-21,X,"gram, mole per liter, milligram per liter",m,7,MIXS:0000639
MIXS:0001081,soil,tillage,history/tillage,Note method(s) used for tilling,enumeration,[drill|cutting disc|ridge till|strip tillage|zonal tillage|chisel|tined|mouldboard|disc plough],chisel,X,,m,8,MIXS:0001081
MIXS:0001086,soil,fire,history/fire,Historical and/or physical evidence of fire,date,{timestamp},,X,,1,9,MIXS:0001086
MIXS:0000319,soil,flooding,history/flooding,Historical and/or physical evidence of flooding,date,{timestamp},,X,,1,10,MIXS:0000319
MIXS:0000320,soil,extreme_event,history/extreme events,Unusual physical events that may have affected microbial populations,date,{timestamp},,X,,1,11,MIXS:0000320
MIXS:0001082,soil,horizon,horizon,Specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath,enumeration,[O horizon|A horizon|E horizon|B horizon|C horizon|R layer|Permafrost],A horizon,X,,1,12,MIXS:0001082
MIXS:0000321,soil,horizon_meth,horizon method,Reference or method used in determining the horizon,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,13,MIXS:0000321
MIXS:0000322,soil,sieving,composite design/sieving (if any),Collection design of pooled samples and/or sieve size and amount of sample sieved,design name and/or size;amount,{{text}|{float} {unit}};{float} {unit},,X,,1,14,MIXS:0000322
MIXS:0000638,soil,water_content,water content,Water content measurement,measurement value,{float},,X,gram per gram or cubic centimeter per cubic centimeter,1,15,MIXS:0000638
MIXS:0000323,soil,water_content_soil_meth,water content method,Reference or method used in determining the water content of soil,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,16,MIXS:0000323
MIXS:0000641,soil,samp_vol_we_dna_ext,sample volume or weight for DNA extraction,"Volume (ml), weight (g) of processed sample, or surface area swabbed from sample for DNA extraction",measurement value,{float} {unit},1500 milliliter,X,"millliter, gram, milligram, square centimeter",1,17,MIXS:0000641
MIXS:0000325,soil,pool_dna_extracts,pooling of DNA extracts (if done),"Indicate whether multiple DNA extractions were mixed. If the answer yes, the number of extracts that were pooled should be given",pooling status;number of pooled extracts,{boolean};{integer},yes;5,X,,1,18,MIXS:0000325
MIXS:0000327,soil,store_cond,storage conditions (fresh/frozen/other),Explain how and for how long the soil sample was stored before DNA extraction,storage condition type;duration,{text};{duration},-20 degree Celsius freezer;P2Y10D,X,,1,19,MIXS:0000327
MIXS:0000328,soil,link_climate_info,link to climate information,Link to climate resource,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,20,MIXS:0000328
MIXS:0000642,soil,annual_temp,mean annual temperature,Mean annual temperature,measurement value,{float} {unit},12.5 degree Celsius,X,degree Celsius,1,21,MIXS:0000642
MIXS:0000643,soil,season_temp,mean seasonal temperature,Mean seasonal temperature,measurement value,{float} {unit},18 degree Celsius,X,degree Celsius,1,22,MIXS:0000643
MIXS:0000644,soil,annual_precpt,mean annual precipitation,"The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.",measurement value,{float} {unit},,X,millimeter,1,23,MIXS:0000644
MIXS:0000645,soil,season_precpt,mean seasonal precipitation,"The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.",measurement value,{float} {unit},,X,millimeter,1,24,MIXS:0000645
MIXS:0000329,soil,link_class_info,link to classification information,Link to digitized soil maps or other soil classification information,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,25,MIXS:0000329
MIXS:0001083,soil,fao_class,soil_taxonomic/FAO classification,Soil classification from the FAO World Reference Database for Soil Resources. The list can be found at http://www.fao.org/nr/land/sols/soil/wrb-soil-maps/reference-groups,enumeration,[Acrisols|Andosols|Arenosols|Cambisols|Chernozems|Ferralsols|Fluvisols|Gleysols|Greyzems|Gypsisols|Histosols|Kastanozems|Lithosols|Luvisols|Nitosols|Phaeozems|Planosols|Podzols|Podzoluvisols|Rankers|Regosols|Rendzinas|Solonchaks|Solonetz|Vertisols|Yermosols],Luvisols,X,,1,26,MIXS:0001083
MIXS:0000330,soil,local_class,soil_taxonomic/local classification,Soil classification based on local soil classification system,local classification name,{text},,X,,1,27,MIXS:0000330
MIXS:0000331,soil,local_class_meth,soil_taxonomic/local classification method,Reference or method used in determining the local soil classification,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,28,MIXS:0000331
MIXS:0000332,soil,soil_type,soil type,Soil series name or other lower-level classification,soil type name,{text},,X,,1,29,MIXS:0000332
MIXS:0000334,soil,soil_type_meth,soil type method,Reference or method used in determining soil series name or other lower-level classification,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,30,MIXS:0000334
MIXS:0000646,soil,slope_gradient,slope gradient,Commonly called 'slope'. The angle between ground surface and a horizontal line (in percent). This is the direction that overland water would flow. This measure is usually taken with a hand level meter or clinometer,measurement value,{float} {unit},,X,percentage,1,31,MIXS:0000646
MIXS:0000647,soil,slope_aspect,slope aspect,"The direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees); e.g., nw or 315 degrees. This measure provides an indication of sun and wind exposure that will influence soil temperature and evapotranspiration.",measurement value,{float} {unit},,X,degree,1,32,MIXS:0000647
MIXS:0001084,soil,profile_position,profile position,Cross-sectional position in the hillslope where sample was collected.sample area position in relation to surrounding areas,enumeration,[summit|shoulder|backslope|footslope|toeslope],summit,X,,1,33,MIXS:0001084
MIXS:0001085,soil,drainage_class,drainage classification,Drainage classification from a standard system such as the USDA system,enumeration,[very poorly|poorly|somewhat poorly|moderately well|well|excessively drained],well,X,,1,34,MIXS:0001085
MIXS:0000335,soil,texture,texture,"The relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system; express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional.",measurement value,{float} {unit},,X,,1,35,MIXS:0000335
MIXS:0000336,soil,texture_meth,texture method,Reference or method used in determining soil texture,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,36,MIXS:0000336
MIXS:0001087,soil,ph,pH,"Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid",measurement value,{float},7.2,X,,1,37,MIXS:0001087
MIXS:0001106,soil,ph_meth,pH method,Reference or method used in determining ph,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,38,MIXS:0001106
MIXS:0000648,soil,tot_org_carb,total organic carbon,"Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content",measurement value,{float} {unit},,X,gram Carbon per kilogram sample material,1,39,MIXS:0000648
MIXS:0000337,soil,tot_org_c_meth,total organic carbon method,Reference or method used in determining total organic carbon,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,40,MIXS:0000337
MIXS:0000649,soil,tot_nitro_content,total nitrogen content,Total nitrogen content of the sample,measurement value,{float} {unit},,X,"microgram per liter, micromole per liter, milligram per liter",1,41,MIXS:0000649
MIXS:0000338,soil,tot_nitro_content_meth,total nitrogen content method,Reference or method used in determining the total nitrogen,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,42,MIXS:0000338
MIXS:0000650,soil,microbial_biomass,microbial biomass,"The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units",measurement value,{float} {unit},,X,"ton, kilogram, gram per kilogram soil",1,43,MIXS:0000650
MIXS:0000339,soil,microbial_biomass_meth,microbial biomass method,Reference or method used in determining microbial biomass,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,44,MIXS:0000339
MIXS:0000340,soil,link_addit_analys,links to additional analysis,Link to additional analysis results performed on the sample,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,45,MIXS:0000340
MIXS:0000651,soil,extreme_salinity,extreme_unusual_properties/salinity,Measured salinity,measurement value,{float} {unit},,X,millisiemens per meter,1,46,MIXS:0000651
MIXS:0000341,soil,salinity_meth,extreme_unusual_properties/salinity method,Reference or method used in determining salinity,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,47,MIXS:0000341
MIXS:0000652,soil,heavy_metals,extreme_unusual_properties/heavy metals,Heavy metals present and concentrationsany drug used by subject and the frequency of usage; can include multiple heavy metals and concentrations,heavy metal name;measurement value,{text};{float} {unit},,X,microgram per gram,m,48,MIXS:0000652
MIXS:0000343,soil,heavy_metals_meth,extreme_unusual_properties/heavy metals method,Reference or method used in determining heavy metals,"PMID,DOI or url",{PMID}|{DOI}|{URL},,X,,1,49,MIXS:0000343
MIXS:0000607,soil,al_sat,extreme_unusual_properties/Al saturation,Aluminum saturation (esp. For tropical soils),measurement value,{float} {unit},,X,percentage,1,50,MIXS:0000607
MIXS:0000324,soil,al_sat_meth,extreme_unusual_properties/Al saturation method,Reference or method used in determining Al saturation,"PMID,DOI or URL",{PMID}|{DOI}|{URL},,X,,1,51,MIXS:0000324
MIXS:0001088,soil,misc_param,miscellaneous parameter,"Any other measurement performed or parameter collected, that is not listed here",parameter name;measurement value,{text};{float} {unit},Bicarbonate ion concentration;2075 micromole per kilogram,X,,m,52,MIXS:0001088
